iso3,name,lat,lng,usage_pct,usage_per_capita_index,use_case_work_pct,use_case_personal_pct,use_case_coursework_pct,collaboration_bucket_automation_pct,collaboration_bucket_augmentation_pct,ai_autonomy_mean,multitasking_pct,working_age_pop,gdp_2024,top_topic,top_topic_pct
PHL,Philippines,15.586542251094242,121.82208941416745,0.8,0.44,45.01,31.9,23.09,49.17,50.83,2.75,23.57,77198220.0,461617000000.0,Content Creation & Copywriting,28.82
POL,Poland,52.06848055692473,19.43573279234468,0.75,1.33,41.77,45.92,12.31,47.85,52.15,2.7,21.11,23779135.0,908583000000.0,Content Creation & Copywriting,20.08
PRI,Puerto Rico,18.216224086610914,-66.49425339593509,0.08,1.68,40.99,42.9,16.1,49.92,50.08,2.75,24.14,2038982.0,120978000000.0,Content Creation & Copywriting,21.5
PRT,Portugal,39.67529214702138,-7.933662183874006,0.53,3.32,43.8,38.29,17.91,47.49,52.51,2.76,22.98,6706494.0,308590000000.0,Content Creation & Copywriting,24.35
PRY,Paraguay,-23.42190559259428,-58.38906357428651,0.06,0.59,48.79,33.91,17.3,52.29,47.71,2.8,21.41,4495248.0,43989000000.0,Content Creation & Copywriting,22.49
PSE,Palestinian Territory,31.930818736453883,35.24251184154588,0.03,0.43,36.74,26.59,36.66,51.87,48.13,2.74,17.86,3073799.0,,Education & Learning,25.49
QAT,Qatar,25.318528486425386,51.19794918743203,0.09,1.66,50.85,37.51,11.65,48.08,51.92,2.77,23.16,2379235.0,221452000000.0,Content Creation & Copywriting,24.25
ROU,Romania,45.82454894397586,25.094158201563292,0.4,1.37,38.96,42.99,18.05,47.88,52.12,2.72,22.44,12262203.0,384148000000.0,Content Creation & Copywriting,21.73
RWA,Rwanda,-2.014687460047154,29.919439681764082,0.04,0.2,41.62,23.62,34.76,55.68,44.32,2.83,22.39,8370477.0,14251000000.0,Content Creation & Copywriting,26.11
SAU,Saudi Arabia,24.136038144757897,44.600958178225596,0.57,0.93,47.26,36.16,16.59,48.61,51.39,2.77,19.81,25850598.0,1085358000000.0,Content Creation & Copywriting,22.94
SEN,Senegal,14.228861491763402,-14.610875368352305,0.11,0.41,36.99,28.1,34.91,51.82,48.18,2.84,21.07,10768138.0,32892000000.000004,Content Creation & Copywriting,27.77
SGP,Singapore,1.3528251890006349,103.81025757634053,0.62,5.81,46.75,42.28,10.97,46.3,53.7,2.75,24.6,4506976.0,547386999999.99994,Content Creation & Copywriting,20.56
SLV,El Salvador,13.758041517055418,-88.85911489238985,0.06,0.59,43.34,28.99,27.67,52.38,47.62,2.82,19.26,4249458.0,35337000000.0,Content Creation & Copywriting,22.51
SRB,Serbia,44.02679870131969,20.85677444395745,0.13,1.31,46.02,42.32,11.66,45.59,54.41,2.64,23.03,4150130.0,89074000000.0,Content Creation & Copywriting,21.09
SVK,Slovakia,48.69808390520484,19.581015362490966,0.12,1.43,37.27,44.68,18.05,48.3,51.7,2.69,21.48,3562375.0,140636000000.0,Content Creation & Copywriting,17.63
SVN,Slovenia,46.13759229564504,14.890636899973781,0.07,2.13,41.55,40.27,18.19,48.69,51.31,2.71,21.87,1350486.0,72463000000.0,Content Creation & Copywriting,19.91
